Question,Answer
Qu’est-ce qu’un certificat TLS ?,Un certificat TLS est un fichier numérique délivré par une autorité de certification qui permet d’authentifier l’identité d’un serveur et de chiffrer les communications entre client et serveur.
À quoi sert un certificat TLS ?,"Un certificat TLS sert à sécuriser les échanges de données sur Internet, en garantissant la confidentialité, l’intégrité et l’authenticité des communications."
Quelle est la différence entre TLS et SSL ?,"SSL (Secure Sockets Layer) est l’ancien protocole de chiffrement créé en 1994, remplacé par TLS (Transport Layer Security). TLS est plus sécurisé, supporte plus d’algorithmes et corrige des failles présentes dans SSL."
Qu’est-ce que SSL/TLS ?,"SSL (Secure Sockets Layer) et TLS (Transport Layer Security) sont des protocoles cryptographiques qui assurent la sécurité des communications réseau. Ils utilisent le chiffrement asymétrique pour l’authentification, le chiffrement symétrique pour la confidentialité, et des codes d’authentification pour garantir l’intégrité des données."
Quels sont les objectifs principaux de SSL/TLS ?,"SSL/TLS vise quatre objectifs : Confidentialité (chiffrement des données), Authentification (vérification des identités), Intégrité (détection des altérations) et Non-répudiation (preuve de réception des données)."
Quels sont les types de certificats SSL ?,"Il existe plusieurs types : DV (Domain Validation) qui vérifie seulement le domaine, OV (Organization Validation) qui vérifie domaine et organisation, et EV (Extended Validation) qui offre le plus haut niveau de validation. On distingue aussi les certificats simple-domaine, wildcard (sous-domaines), et multi-domaine."
Quelle est l’histoire de SSL ?,"SSL a été développé par Netscape en 1994 pour le protocole HTTPS. SSL 2.0 avait des failles, corrigées par SSL 3.0 en 1996. En 1999, l’IETF a pris en charge le protocole et l’a renommé TLS 1.0. La version actuelle est TLS 1.3 (2018)."
Qui a inventé SSL ?,"SSL a été inventé par le cryptographe Dr. Taher Elgamal chez Netscape en 1994, avec Phil Karlton et Dr. Alan Freier."
Quelles sont les différences clés entre SSL et TLS ?,"TLS supporte plus de versions, plus d’algorithmes et offre une sécurité renforcée. Le processus de handshake TLS est aussi amélioré comparé à SSL."
Quelle est la version actuelle de SSL/TLS ?,"La version actuelle est TLS 1.3 (2018). Cependant, TLS 1.2 reste la plus utilisée et largement supportée aujourd’hui."
Qu’est-ce qu’une CSR (Certificate Signing Request) ?,"Une CSR est une demande de signature de certificat contenant des informations comme le nom de domaine, l’organisation et la clé publique. Elle est envoyée à une autorité de certification pour obtenir un certificat TLS."
Comment générer une CSR ?,Une CSR peut être générée avec OpenSSL via la commande `openssl req -new -key private.key -out demande.csr`. Elle inclut la clé publique et les informations d’identité de l’organisation.
Quelles informations contient une CSR ?,"Une CSR contient le nom de domaine, l’organisation, l’unité organisationnelle, la ville, le pays, l’adresse e-mail et la clé publique."
Pourquoi une CSR est-elle nécessaire ?,Une CSR permet à l’autorité de certification de vérifier l’identité de l’entité et de générer un certificat valide lié à la clé privée correspondante.
Qu’est-ce que HTTPS ?,"HTTPS (HyperText Transfer Protocol Secure) est la version sécurisée du protocole HTTP, utilisant TLS pour chiffrer la communication entre client et serveur."
Pourquoi utiliser HTTPS ?,"HTTPS protège les utilisateurs contre l’espionnage et la falsification, améliore le référencement SEO et inspire confiance aux visiteurs."
Quelle est la différence entre HTTP et HTTPS ?,"HTTP transmet les données en clair, tandis que HTTPS les chiffre grâce à TLS. HTTPS utilise le port 443 par défaut, HTTP le port 80."
Comment fonctionne le handshake HTTPS ?,"Le handshake HTTPS est un échange initial où le client et le serveur négocient les algorithmes de chiffrement, échangent les certificats et établissent une clé de session sécurisée."
Est-ce que HTTPS ralentit un site web ?,"Historiquement, oui, mais aujourd’hui l’impact est minime grâce à TLS 1.3 et au chiffrement matériel accéléré."
Qu’est-ce qu’EJBCA ?,"EJBCA (Enterprise Java Beans Certificate Authority) est une solution open-source permettant de gérer une autorité de certification complète pour délivrer, révoquer et gérer des certificats numériques."
Quels sont les cas d’usage d’EJBCA ?,"EJBCA est utilisé pour sécuriser les infrastructures PKI, gérer les certificats pour serveurs, utilisateurs, appareils IoT, VPN, signatures électroniques, etc."
Comment installer EJBCA ?,"EJBCA peut être installé via un serveur Java (WildFly, JBoss), ou utilisé sous forme de conteneur Docker. Il nécessite une base de données relationnelle (PostgreSQL, MySQL, etc.)."
EJBCA supporte-t-il ACME ?,"Oui, EJBCA supporte le protocole ACME (utilisé par Let’s Encrypt) pour l’automatisation de la délivrance de certificats."
Quels protocoles sont supportés par EJBCA ?,"EJBCA supporte SCEP, CMP, EST et ACME pour l’émission automatisée de certificats."
Quels sont les algorithmes de chiffrement utilisés par TLS ?,"TLS utilise des algorithmes asymétriques (RSA, ECDSA), symétriques (AES, ChaCha20) et des fonctions de hachage (SHA-256, SHA-384)."
Qu’est-ce qu’un certificat auto-signé ?,"Un certificat auto-signé est généré et signé par son propre créateur, sans autorité de certification. Il est utile pour les tests, mais non reconnu par les navigateurs."
Comment vérifier un certificat TLS ?,On peut utiliser `openssl s_client -connect domaine:443` ou des outils comme SSL Labs pour vérifier la validité et la configuration d’un certificat TLS.
Que signifie la révocation d’un certificat ?,"La révocation annule un certificat avant son expiration, par exemple en cas de compromission de clé. Elle est publiée dans des CRL ou via OCSP."
Quelle est la durée de validité d’un certificat TLS ?,"La durée maximale est aujourd’hui de 398 jours (environ 13 mois), imposée par les navigateurs."
Qu’est-ce qu’un certificat racine ?,Un certificat racine est émis par une autorité de certification racine et sert de base à la chaîne de confiance des certificats.
Qu’est-ce qu’un certificat intermédiaire ?,"Un certificat intermédiaire est émis par une autorité racine et utilisé pour signer d’autres certificats, afin de limiter les risques liés aux clés racine."
Qu’est-ce que OCSP ?,OCSP (Online Certificate Status Protocol) est un protocole permettant de vérifier en temps réel la validité d’un certificat auprès d’une autorité de certification.
Quelle est la différence entre CRL et OCSP ?,"CRL est une liste de révocation téléchargée périodiquement, tandis qu’OCSP permet une vérification instantanée de l’état d’un certificat."
Pourquoi TLS 1.0 et 1.1 sont-ils obsolètes ?,Ces versions présentent des vulnérabilités connues (comme BEAST et POODLE) et ne supportent pas les algorithmes modernes. Elles sont désormais interdites par la plupart des navigateurs.
Qu’est-ce que HSTS ?,HSTS (HTTP Strict Transport Security) est une politique qui force les navigateurs à toujours utiliser HTTPS et empêche les attaques de type downgrade.
